STDR_YEAR,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,INDUTY_LCLAS_CODE,INDUTY_MLSFC_CODE,INDUTY_LCLAS_NM,INDUTY_MLSFC_NM,PRCSS_ENTRPRS_SE_CODE,PRCSS_ENTRPRS_SE,PDSMLPZ_SCTN_CODE,PDSMLPZ_SCTN,IEM_NM,TOT_ENTRPRS_CO,AVRG_AM,FSTLTN_AM,REGIST_DE,OPERTOR_NM
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,ROE,1,-4.48,-4.48,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,부채비율,1,38.93,38.93,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,순이익율,1,-2.36,-2.36,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,유동비율,1,357.37,357.37,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,영업이익율,1,-3.29,-3.29,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,매출액증가율,1,63.45,63.45,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,순이익증가율,1,-60.01,-60.01,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,자기자본비율,1,71.98,71.98,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,차입금의존도,1,0.0,0.0,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,총자산증가율,1,-18.78,-18.78,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,총자산회전율,1,1.25,1.25,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,영업이익증가율,1,-63.14,-63.14,2020-10-19,KEDSYS
2010,서울,중구,명동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,3,중기업,2,2년 이상 5년 미만,재고자산회전율,1,3860.5,3860.5,2020-10-19,KEDSYS
2010,서울,강남구,삼성2동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,98,판단제외,5,5년 이상 10년 미만,ROE,1,6.39,6.39,2020-10-19,KEDSYS
2010,서울,강남구,삼성2동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,98,판단제외,5,5년 이상 10년 미만,부채비율,1,283.53,283.53,2020-10-19,KEDSYS
2010,서울,강남구,삼성2동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,98,판단제외,5,5년 이상 10년 미만,순이익율,1,0.59,0.59,2020-10-19,KEDSYS
2010,서울,강남구,삼성2동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,98,판단제외,5,5년 이상 10년 미만,유동비율,1,101.5,101.5,2020-10-19,KEDSYS
2010,서울,강남구,삼성2동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,98,판단제외,5,5년 이상 10년 미만,영업이익율,1,-1.12,-1.12,2020-10-19,KEDSYS
2010,서울,강남구,삼성2동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,98,판단제외,5,5년 이상 10년 미만,매출액증가율,1,8.65,8.65,2020-10-19,KEDSYS
2010,서울,강남구,삼성2동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,98,판단제외,5,5년 이상 10년 미만,순이익증가율,1,47.51,47.51,2020-10-19,KEDSYS
2010,서울,강남구,삼성2동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,98,판단제외,5,5년 이상 10년 미만,자기자본비율,1,26.07,26.07,2020-10-19,KEDSYS
2010,서울,강남구,삼성2동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,98,판단제외,5,5년 이상 10년 미만,차입금의존도,1,0.0,0.0,2020-10-19,KEDSYS
2010,서울,강남구,삼성2동,O,O84,공공행정; 국방 및 사회보장 행정,공공행정; 국방 및 사회보장 행정,98,판단제외,5,5년 이상 10년 미만,총자산증가율,1,-41.74,-41.74,2020-10-19,KEDSYS
